comparison,baseline,candidate,instance,run,seed,baseline_fitness,candidate_fitness,fitness_ratio,baseline_raw_function_evaluations,candidate_raw_function_evaluations,raw_function_evaluations_ratio,baseline_best_found_function_evaluations,candidate_best_found_function_evaluations,baseline_runtime_s,candidate_runtime_s
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_40_workers.fjs,6,1005,3467.316296111258,3320.2961858366834,0.9575982985920656,4999992,3968580,0.7937172699476319,4955820,880620,129601.12885713577,129600.59208750725
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_40_workers.fjs,7,1006,3777.7747217029073,3646.8430336234487,0.9653415839416601,4999992,3665976,0.7331963731141969,3085392,1198836,129600.33298897743,129602.15698862076
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_40_workers.fjs,8,1007,3670.1044506280914,3396.0669483581373,0.925332505939155,4999992,4412268,0.8824550119280191,4953900,308856,129600.85582923889,129601.09539794922
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_40_workers.fjs,9,1008,3491.2705285261354,3383.429222483871,0.9691111573391047,4999992,4549992,0.9099998559997696,4691484,2613240,129601.25323033333,129600.31558966637
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_40_workers.fjs,10,1009,3781.3255843362954,3601.857987341191,0.9525384437302812,4999992,3789276,0.7578564125702602,4951872,2600244,129600.99669456482,129600.2562520504
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_54_workers.fjs,1,1000,18286.76388371041,17842.517411734516,0.9757066654985564,4999992,4999992,1.0,908988,1922040,129600.81358242035,129601.25301289558
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_54_workers.fjs,2,1001,17509.949268819444,17930.619994258326,1.0240246684316776,4999992,4999992,1.0,4219140,4490472,129600.61559677124,129600.28154683113
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_54_workers.fjs,3,1002,18690.11815112606,18401.584294537857,0.9845622240450729,4999992,4999992,1.0,4711716,4030788,129601.11642599106,129600.34978461266
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_54_workers.fjs,4,1003,20165.98493904199,19150.90245514131,0.9496636297721591,4999992,4999992,1.0,4125636,2811684,129600.04232883453,129601.17784047127
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_54_workers.fjs,5,1004,18872.374183986096,19069.431174418347,1.0104415580419903,4999992,4999992,1.0,2933616,4560636,129600.71877264977,129600.74291968346
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_54_workers.fjs,6,1005,19621.253669850783,19346.41123777585,0.9859926161345519,4999992,4999992,1.0,2809260,4658880,129600.41513156891,129601.18333601952
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_54_workers.fjs,7,1006,19662.394705398474,19203.184865833206,0.9766452740652598,4999992,4999992,1.0,1866060,4410408,129600.73934555054,129600.2162489891
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_54_workers.fjs,8,1007,20182.222682324973,19230.93486024412,0.9528650616409082,4999992,4999992,1.0,2087532,2384100,129600.84389638901,129600.51749277115
